Source,Spectrum,regime,telescope,instrument,mode,observation_date,wavelength_units,flux_units,wavelength_order,spectrum comments ,spectrum reference,discovery reference,Other spectrum refs, 
2MASS J09090085+6525275,https://bdnyc.s3.amazonaws.com/WFC3/J0909%2B65.csv,em.IR.NIR,HST ,WFC3,G141 grism,Aug-21-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J10393137+3256263,https://bdnyc.s3.amazonaws.com/WFC3/J1039%2B32.csv,em.IR.NIR,HST ,WFC3,G141 grism,May-08-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J11101001+0116130,https://bdnyc.s3.amazonaws.com/WFC3/S1110.csv,em.IR.NIR,HST ,WFC3,G141 grism,Feb-10-2016,micron,erg cm-2 s-1 A-1,,,Manj19,,Apai15.14241,
2MASS J12195156+3128497,https://bdnyc.s3.amazonaws.com/WFC3/J1219%2B31.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jun-18-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J13243553+6358281,https://bdnyc.s3.amazonaws.com/WFC3/J1324%2B63.csv,em.IR.NIR,HST ,WFC3,G141 grism,Feb-25-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J16241436+0029158,https://bdnyc.s3.amazonaws.com/WFC3/J1624%2B00.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jul-13-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J16291840+0335371,https://bdnyc.s3.amazonaws.com/WFC3/J1629%2B03.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jun-06-2015,micron,erg cm-2 s-1 A-1,,,Manj19,,Radi16.14051,
2MASS J16322911+1904407,https://bdnyc.s3.amazonaws.com/WFC3/J1632%2B19.csv,em.IR.NIR,HST ,WFC3,G141 grism,Aug-11-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J17502484-0016151,https://bdnyc.s3.amazonaws.com/WFC3/J1750-00.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jun-15-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J17503293+1759042,https://bdnyc.s3.amazonaws.com/WFC3/J1750%2B17.csv,em.IR.NIR,HST ,WFC3,G141 grism,Oct-05-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASS J18212815+1414010,https://bdnyc.s3.amazonaws.com/WFC3/J1821%2B14.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jun-09-2013,micron,erg cm-2 s-1 A-1,,Multiple observation dates.,Manj19, ,"Apai12.13176, Yang15",
2MASS J21392676+0220226,https://bdnyc.s3.amazonaws.com/WFC3/J2139%2B02.csv,em.IR.NIR,HST ,WFC3,G141 grism,Oct-21-2010,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai10.12341, Apai13",
